Table of parasitism success of different L. fabarum lines facing a single aphid genotype protected by a range of field-collected H. defensa strains;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Replicate: each H. defensa strain x L. fabarum line combination was tested in 6 independant replicates (i.e. one leaf disc setup);;;;;;;;;;;;;;;;;;
Aphid_line: names of the aphid line tested. Each line is associated with one H. defensa strain, with the exception of the control line NTR-0407;;;;;;;;;;;;;;;;;;
Parasitoid_line: names of the L. fabarum parasitoid lines tested;;;;;;;;;;;;;;;;;;
Block: All tests could not be carried at the same time for technical reasons. Thus, we ran our tests in 6 discrete blocks separated by approx. 2-3 weeks each. All aphid lines were tested in the same block for each parasitoid line;;;;;;;;;;;;;;;;;;
Latitude_wasp: latitude coordinate of the origin of the L. fabarum parasitoid;;;;;;;;;;;;;;;;;;
Longitude_wasp: longitude coordinate of the origin of the L. fabarum parasitoid;;;;;;;;;;;;;;;;;;
Wasp_host_species: name of the aphid host species the parasitoid mummies were collected from;;;;;;;;;;;;;;;;;;
Hamiltonella_aphid_species: name of the aphid host species the different H. defensa strains were collected from;;;;;;;;;;;;;;;;;;
Wasp_genotype: id number indicating the genotype of the L. fabarum parasitoid, determined by microsatellite genotyping;;;;;;;;;;;;;;;;;;
Nymphs_corrected: the number of nymphs laid by the adults aphids was too variable and could lead to bias (e.g. the wasp not having the time to visit each potential host). For that reason, starting from block 2, we manually removed nymphs before the start of the experiment, aiming for approx. 10 nymphs per test;;;;;;;;;;;;;;;;;;
Dead_wasp: it could happen that the wasp was scored dead at the end of the experiment, biasing hte result. This column helps removing those samples in the analysis;;;;;;;;;;;;;;;;;;
Mummies_amount: number of mummies counted 14 days after the exposure to the parasitoid;;;;;;;;;;;;;;;;;;
Hatching_wasps: number of hatched L. fabarum parasitoids, 22 days after the exposure to the parasitoid. This metric is slightly less precise than the number of mummies as they were sometimes hard to differentiate from the mush generated by the still alive aphids;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Replicate;Aphid_line;Parasitoid_line;Wasp_genotype;Block;Latitude_wasp;Longitude_wasp;Latitude_symbiont;Longitude_symbiont;Wasp_host_species;Hamiltonella_aphid_species;Nymphs_corrected;Dead_wasp;Mummies_amount;Hatching_wasps;;;;
1;NTR-407;F316;6;6;47.38142956;8.62739129;NA;NA;Aphis_fabae_fabae;none;10;no;7;7;;;;
2;NTR-407;F316;6;6;47.38142956;8.62739129;NA;NA;Aphis_fabae_fabae;none;10;no;4;4;;;;
3;NTR-407;F316;6;6;47.38142956;8.62739129;NA;NA;Aphis_fabae_fabae;none;10;no;1;0;;;;
4;NTR-407;F316;6;6;47.38142956;8.62739129;NA;NA;Aphis_fabae_fabae;none;10;no;4;4;;;;
5;NTR-407;F316;6;6;47.38142956;8.62739129;NA;NA;Aphis_fabae_fabae;none;10;yes;5;5;;;;
6;NTR-407;F316;6;6;47.38142956;8.62739129;NA;NA;Aphis_fabae_fabae;none;10;yes;0;0;;;;
1;NTR-407;G339;8;6;47.30356587;8.7536656;NA;NA;Aphis_fabae_fabae;none;10;no;8;6;;;;
2;NTR-407;G339;8;6;47.30356587;8.7536656;NA;NA;Aphis_fabae_fabae;none;10;yes;1;0;;;;
3;NTR-407;G339;8;6;47.30356587;8.7536656;NA;NA;Aphis_fabae_fabae;none;10;no;1;1;;;;
4;NTR-407;G339;8;6;47.30356587;8.7536656;NA;NA;Aphis_fabae_fabae;none;10;no;3;3;;;;
5;NTR-407;G339;8;6;47.30356587;8.7536656;NA;NA;Aphis_fabae_fabae;none;10;no;7;7;;;;
6;NTR-407;G339;8;6;47.30356587;8.7536656;NA;NA;Aphis_fabae_fabae;none;10;no;6;4;;;;
1;NTR-407;G363;7;6;47.30276081;8.75474511;NA;NA;Aphis_fabae_fabae;none;10;no;5;5;;;;
2;NTR-407;G363;7;6;47.30276081;8.75474511;NA;NA;Aphis_fabae_fabae;none;10;no;7;7;;;;
3;NTR-407;G363;7;6;47.30276081;8.75474511;NA;NA;Aphis_fabae_fabae;none;8;no;4;4;;;;
