Table of the L. fabarum wasps sampled for the study;;;;;;;;
Samples that could not successfuly establish in the lab were not used for experiements and therefore are omitted from this table;;;;;;;;
;;;;;;;;
sample_id: unique identifier for each Lysiphlebus fabarum clonal line;;;;;;;;
latitude: latitude of the sampling;;;;;;;;
longitude: longitude of the sampling;;;;;;;;
site: general name covering multiple samples from the same location (roughly 200m diameter circle);;;;;;;;
year: year of the collection;;;;;;;;
plant_species: host plant from which the sample was collected;;;;;;;;
aphid_species: name of the host species the sample was collected from;;;;;;;;
genotype: arbitrary number given to each unique genotype, determined with the microsatellite analysis;;;;;;;;
niche: was the genotype found in more than one host species?;;;;;;;;
;;;;;;;;
sample_id;latitude;longitude;site;year;plant_species;aphid_species;genotype;niche
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
