sample_id	plant_code	latitude	longitude	site	plant_species	aphid_species	transfected
Y20-0218	cha	47.40554496	8.6066011	Seidenstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0222	ruf	47.3903608	8.52820292	Wasserwerkstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0224	cha	47.39958707	8.49032601	Winzerhalde	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0225	heh	47.39518665	8.51033461	Am_Wasser	Hedera_helix	Aphis_hederae	no
Y20-0226	heh	47.39522701	8.51032366	Am_Wasser	Hedera_helix	Aphis_hederae	no
Y20-0228	cha	47.4070426	8.58842158	Überland	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0229	cha	47.40678277	8.58828749	Überland	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0232	ruf	47.405412	8.609466	Eawag	Rubus_fruticosus	Aphis_ruborum	no
Y20-0236	cha	47.42255453	8.54850581	Katzenbachstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0239	cha	47.42272264	8.54846186	Katzenbachstrasse	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0242	ruf	47.42187095	8.53766867	Schwandenholzstrasse	Rubus_fruticosus	Aphis_ruborum	no
Y20-0244	heh	47.41732027	8.54380666	Neunbrunnenstrasse	Hedera_helix	Aphis_hederae	yes
Y20-0245	cha	47.38727164	8.47700872	Altstetten	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0247	cha	47.38405016	8.47436218	Altstetten	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0253	ruf	47.38466881	8.46713836	Lyrenweg	Rubus_fruticosus	Aphis_ruborum	no
Y20-0254	cha	47.3872564	8.46948798	Salzweg	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0255	cha	47.38735403	8.46954935	Salzweg	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0258	cha	47.3888562	8.4676241	Talbächliweg	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0264	cha	47.391200	8.452683	Altstatten	Chenopodium_album	Aphis_fabae_fabae	no
Y20-0266	ruf	47.39300747	8.50589662	Hardturmstrasse	Rubus_fruticosus	Aphis_ruborum	no
